queue_id,interval_start,calls_offered,aht_seconds,mean_patience_seconds,service_level_threshold,service_level_target_seconds,max_occupancy,shrinkage
sales,3/8/26 7:00,8,468,160,80,30,90,0.3
sales,3/8/26 7:30,14,468,160,80,30,90,0.3
sales,3/8/26 8:00,41,468,160,80,30,90,0.3
sales,3/8/26 8:30,75,468,160,80,30,90,0.3
sales,3/8/26 9:00,149,468,160,80,30,90,0.3
sales,3/8/26 9:30,181,468,160,80,30,90,0.3
sales,3/8/26 10:00,235,468,160,80,30,90,0.3
sales,3/8/26 10:30,246,468,160,80,30,90,0.3
sales,3/8/26 11:00,235,468,160,80,30,90,0.3
sales,3/8/26 11:30,234,468,160,80,30,90,0.3
sales,3/8/26 12:00,183,468,160,80,30,90,0.3
sales,3/8/26 12:30,192,468,160,80,30,90,0.3
sales,3/8/26 13:00,206,468,160,80,30,90,0.3
sales,3/8/26 13:30,227,468,160,80,30,90,0.3
sales,3/8/26 14:00,224,468,160,80,30,90,0.3
sales,3/8/26 14:30,172,468,160,80,30,90,0.3
sales,3/8/26 15:00,173,468,160,80,30,90,0.3
sales,3/8/26 15:30,168,468,160,80,30,90,0.3
sales,3/8/26 16:00,149,468,160,80,30,90,0.3
sales,3/8/26 16:30,128,468,160,80,30,90,0.3
sales,3/8/26 17:00,100,468,160,80,30,90,0.3
sales,3/8/26 17:30,85,468,160,80,30,90,0.3
sales,3/8/26 18:00,50,468,160,80,30,90,0.3
sales,3/8/26 18:30,39,468,160,80,30,90,0.3
sales,3/8/26 19:00,31,468,160,80,30,90,0.3
sales,3/8/26 19:30,22,468,160,80,30,90,0.3
sales,3/8/26 20:00,13,468,160,80,30,90,0.3
sales,3/8/26 20:30,16,468,160,80,30,90,0.3
sales,3/8/26 21:00,5,468,160,80,30,90,0.3
sales,3/8/26 21:30,10,468,160,80,30,90,0.3
